Calcium(mg/g),Bending_strength(MPa)
269.17408652162186,186.90814610261376
270.50315039250086,230.95557239516722
262.4658661120677,203.75991538789626
267.7796805702533,184.81661722428368
253.23316409759295,219.79845990970304
268.3117794393702,214.68503510473678
263.2637837090807,180.39937907073718
271.69856812654245,215.38122175615652
254.49540490005322,195.97362553697346
274.4215616511646,229.32901869544136
283.0572841293575,213.98686917060314
264.2597294860194,216.0794918630646
253.96426606833762,145.6497374994903
269.3740571028014,144.95157156535666
267.64701679726835,155.64449016802473
270.70262979175413,173.89149750744315
254.3066496395227,84.73934334840465
253.69796360066567,165.87144395073165
280.400138751452,149.83211813311672
259.610216256611,199.4589340505976
249.48009509430935,162.85475666281624
268.9750908621445,141.00045449093295
249.1811067020918,86.7261265020598
248.18516836730348,66.85251337652835
249.04894155318348,138.5588530041791
262.7316773978134,134.37647237055268
225.00342059837644,105.66947675205958
232.57589793358648,118.80394475509428
249.44740916976374,120.42961298623757
243.07133193244775,120.89385895542088
253.69796360066567,73.36039493982236
244.73156405386285,69.52444086751512
238.62031573844013,107.41207892248443
244.9964004179065,72.31325021139634
259.610216256611,243.73923858035724
263.32963185579734,207.4789876073091
267.9786687875803,230.4913785123711
249.77955234200195,205.03832367552502
252.70202526587732,219.6823072662296
274.0235852165106,189.11593179719168
264.3260613725119,176.21522749994568
243.20302078373064,223.40137948564245
275.6174780092828,191.3244987875777
245.79481663899614,290.11122824760855
251.10715755140302,230.257510633808
246.78977260993202,224.91188471466927
219.822761095102,226.65448688509417
240.21422341551315,197.13509988532064
234.50241763837275,238.1616198925949
245.06224112247276,289.0658804995412
246.32497310685926,230.37444457308953
239.6835757657238,258.9644541659139
275.28582601897085,203.06185362653704
261.00415335250455,229.7933167510119
266.58474657598754,191.78947396618193
256.4887476732582,235.25577243665774
270.30367099324764,201.43529992681118
263.2359872773462,215.63045511894597
274.9526930407298,212.0112845901977
248.71630719901907,180.51553171421062
265.8541283450187,169.126218114574
241.27746855849603,185.39685957777883
253.36582787057787,212.35943000229477
297.338473056048,179.0050264851838
266.51840724734467,164.24489025100578
283.0572841293575,141.5815302266234
287.9062842001696,188.06962045096097
289.16804126285405,202.01653192166327
272.2960388447505,203.9921165020687
284.8506637635334,219.21733208762538
282.1930346458521,222.00614143150653
273.69142715997157,220.26265379249915
286.7094078046501,191.44044308550232
250.77549811894067,263.4967771919961
263.79492998294666,239.6720209488473
249.64640482924116,207.8271330194062
248.71630719901907,268.3781050555643
245.79481663899614,257.80128700998245
243.33569199886597,53.8350313991624
242.53970936095632,81.61259752431914
231.5794758590223,91.37363857345207
235.8963472921159,79.52013109101932
221.61663191120414,29.313906202238627
230.58303890015733,41.7476560381665
259.27758190244657,233.51238897042475
260.2076795326687,191.5573770247839
248.71630719901907,200.622960631918
255.49134323484157,206.6657628438334
245.66117050215874,239.32299006816768
252.30355020714669,224.09865995119355
262.59852244290227,193.18393072450974
271.29960932803596,64.52784582905605
276.4807525710862,89.74708487372624
259.87456143872845,75.45291345950938
275.0863391775672,98.4635855137935
268.17814818683354,69.17535790044832
264.3919169613789,53.95019440127891
257.61687348340604,36.75194646828993
263.59545058369343,115.4330700341657
261.4704189592056,50.3497228855382
243.6019795822371,55.92921668324004
253.10099150653423,61.390891073077796
268.7102619402512,28.96398985297651
253.96426606833762,53.95019440127891
260.0745320199079,80.10209229529232
245.19538863523354,131.35296176591305
245.99282993462108,109.27250050077342
171.5995577576548,126.93843210450137
184.21954336230328,103.80999272874035
178.37459751455248,114.15388045072879
270.2368479248289,271.3999749390068
276.3480887981013,244.08915492961938
271.10062111070897,255.47753097428628
273.22662765689887,279.5352696274157
262.7316773978134,273.25948500551965
270.2368479248289,268.1460081141662
266.05214164064364,275.8161974080028
258.6123206362681,247.11016538767302
272.029743819229,230.8155641863526
281.8613752133897,289.5300743823373
242.67237313394125,270.9348695444346
257.8826773270014,282.09198202989876
241.2101617503015,266.86765191292466
234.23612261285118,244.5534529851899
245.06224112247276,259.19660319369916
263.66129873041007,274.42179273606223
266.51840724734467,257.33704104079914
263.8666276598757,259.51745533889937
249.97903918340558,273.95754676687886
270.8357773045149,267.680902719594
260.0745320199079,288.0204806650866
263.48765847733677,267.35833172361595
246.05915437896314,159.13057997745702
241.27746855849603,149.95071883678895
228.8555074126981,152.15840035859244
234.90040895732756,167.7318655290206
217.09929127285443,106.59968754120405
221.94780016174025,129.49425903840196
235.5032454659722,160.53602696348565
228.19218854777338,160.06073868021429
236.62794044478682,150.0649963703229
235.96365410031044,133.21411255362293
236.49480781632684,126.70628307671609
230.51669957151447,150.29896842166045
220.353907368968,154.1339849389979
229.45443679238406,123.91820294225585
240.21422341551315,142.27881069217452
235.16623512737408,193.18393072450974
247.72036142208034,169.82339440735066
233.92495142043302,125.7573211881768
259.14491812946164,185.16476263638077
251.62511633476475,199.95214005106845
270.76847049632033,179.23712342658186
256.8194396261689,248.96884207199054
260.2076795326687,237.2321903992585
271.4327642829471,246.87796427350054
272.03851811454757,230.25922948458583
276.4807525710862,219.3341618541325
281.66140463221024,218.40400315137524
262.2668704525903,308.93944153868546
253.89745044206933,301.8495466847312
260.1413550883266,223.28533101494344
263.46230307093265,214.91791334194298
257.21936590422706,206.43278043385283
256.6872521508094,204.45631038486482
252.4362065379812,210.96596288532393
250.24386810529884,173.1934357460839
250.51114549467286,263.96274201195723
260.4071738162227,198.18141123155138
257.3047273692858,276.02443878405967
263.46230307093265,289.1819289702402
265.25567526295816,282.55708742447104
257.8826773270014,123.21852650289318
248.94408165408342,163.2967617446618
240.21422341551315,132.28395385086566
227.06260407614764,93.69997288531499
232.5095586049436,154.4822345238694
244.13311097180232,142.16187675289294
239.94840468761703,118.22198355082128
216.03603124557077,88.93464140605863
223.47537595232083,104.74025560427202
206.93649162815757,103.57872916953761
200.0283006374239,98.4635855137935
217.3646188188243,101.71835967763585
221.08452559993685,97.88495783830183
214.2431427933211,93.23567482974448
227.66056597628193,114.38597739212685
199.03186367855892,79.7522801188046
218.42737277988095,98.69568245519156
207.53395490421525,41.97985715233898
202.75225419944732,88.70171108246524
173.326601784263,58.59859194125369
184.61801469995874,67.31498840854658
188.86954777363792,44.18920543853312
194.58182984840377,37.100196053161426
183.8873964689899,76.3813533114888
190.66341114758964,59.993777909002404
172.33066344947468,27.685685738122118
222.87789779196234,162.15237173131877
216.96662749986947,139.37301532262458
219.06435387454908,144.3072108692087
216.50132937272014,144.1374613332984
225.3355637706146,132.63131796715462
216.3023411553931,153.90188799759986
216.70080877197336,80.44945641158125
194.8476374130743,94.51059332943032
218.75951595211913,107.99404012675743
218.75951595211913,102.06822394051079
194.05020727691232,69.75742327749572
214.57480966793386,80.10209229529232
281.0644325380788,220.03045267832667
263.79492998294666,198.9947401678015
275.9501049212968,223.05323407354538
274.08990966085264,196.43792359254397
278.4116705867574,181.40303166584468
270.5694897211437,185.7450049898759
268.17814818683354,214.45293816333873
243.20302078373064,172.37932551402568
245.1890479230949,215.63045511894597
251.3071281325825,163.77892543104463
252.1704026943859,193.18393072450974
247.7866933085728,175.75014814856704
283.521123595029,207.4789876073091
255.62449818975273,209.57150612699613
270.70262979175413,207.24689066591105
261.00415335250455,204.68929279484541
276.4807525710862,222.58737342635862
291.82471034313414,210.50077936117088
265.25567526295816,230.95557239516722
262.9306804994412,225.3761827702398
272.7618132695253,244.08915492961938
271.7653911949612,273.25948500551965
285.31547070875655,262.7995748560258
274.2225659916872,250.13198318472837
265.25567526295816,222.35517231218614
268.11133256056524,230.02541369240993
264.05976634699033,221.42490943665447
264.9893727952862,199.11078863850054
262.40003284965184,245.017646867986
273.2924683614651,180.16738630211356
255.94785962452193,252.7279426799726
266.9817555310899,254.08226687695677
263.59545058369343,228.63095693408215
257.01891158327174,232.58202192211866
229.05546310957678,227.4685971171524
249.97903918340558,206.20068349245477
245.66117050215874,231.18766933656525
255.0265437317688,216.54358157308627
263.66129873041007,256.5237902341298
258.7459667731055,245.71573467253882
244.19896656066936,256.40774176343075
256.6872521508094,274.8860387052455
241.87445553692828,237.1153085463642
263.79492998294666,297.08421520547483
253.83111111342646,256.40774176343075
255.06408938052397,281.2130242457668
250.77549811894067,235.25577243665774
263.86076324536253,229.9093652217109
264.85720020422747,265.2410982131988
249.1811067020918,190.16125350206545
239.88158906134873,257.33704104079914
248.11981140251305,225.43410283281492
318.5268854939204,54.76513801553244
296.07574107166147,55.81061597956784
315.80290960544585,49.76692829906989
315.13959818267153,59.52880273039818
325.3018992032918,43.375043120087696
291.9476100147976,42.61895712337895
311.6177195814847,46.86290386668503
293.55223438844297,49.069647833518786
308.9620254229067,48.48945756641086
